kind,name,index
number,x,0
number,y,1
number,width,2
number,height,3
number,intrinsic_width,4
number,intrinsic_height,5
number,min_width,6
number,max_width,7
number,min_height,8
number,max_height,9
number,offset_x,10
number,offset_y,11
number,weight,12
number,gap,13
number,margin_top,14
number,margin_right,15
number,margin_bottom,16
number,margin_left,17
number,padding_top,18
number,padding_right,19
number,padding_bottom,20
number,padding_left,21
number,stroke_width,22
number,corner_radius,23
number,opacity,24
number,font_size,25
number,line_height,26
number,text_padding_top,27
number,text_padding_right,28
number,text_padding_bottom,29
number,text_padding_left,30
number,icon_width,31
number,icon_height,32
number,icon_scale,33
number,icon_offset_x,34
number,icon_offset_y,35
number,port_anchor,36
number,port_offset,37
number,port_size,38
number,source_anchor,39
number,target_anchor,40
number,obstacle_margin,41
number,label_position,42
string,id,0
string,text_value,1
string,font_family,2
string,text_color,3
string,text_role,4
string,icon_ref,5
string,icon_fallback_ref,6
string,icon_color,7
string,fill,8
string,stroke,9
string,port_label,10
string,line_source,11
string,line_target,12
string,line_label,13
bool,visible,0
bool,text_wrap,1
bool,text_fit,2
bool,text_clip,3
bool,port_visible,4
bool,layer,5
bool,columns,6
bool,column_span,7
bool,row_span,8
resolved_number,x,0
resolved_number,y,1
resolved_number,width,2
resolved_number,height,3
resolved_number,stroke_width,4
resolved_number,corner_radius,5
resolved_number,opacity,6
resolved_number,font_size,7
resolved_number,line_height,8
resolved_number,label_position,9
resolved_number,text_x,10
resolved_number,text_y,11
resolved_number,text_width,12
resolved_number,text_height,13
resolved_number,icon_x,14
resolved_number,icon_y,15
resolved_number,icon_width,16
resolved_number,icon_height,17
resolved_string,id,0
resolved_string,text_value,1
resolved_string,font_family,2
resolved_string,text_color,3
resolved_string,text_role,4
resolved_string,icon_ref,5
resolved_string,fill,6
resolved_string,stroke,7
resolved_string,line_label,8
